Day,Sentiment,Count
3/8/2016,negative,743
3/8/2016,neutral,580
3/8/2016,positive,396
3/9/2016,negative,402
3/9/2016,neutral,382
3/9/2016,positive,521
3/10/2016,negative,508
3/10/2016,neutral,144
3/10/2016,positive,179
3/11/2016,negative,1173
3/11/2016,neutral,288
3/11/2016,positive,133
3/12/2016,negative,1429
3/12/2016,neutral,368
3/12/2016,positive,299
3/13/2016,negative,798
3/13/2016,neutral,439
3/13/2016,positive,336
3/14/2016,negative,1529
3/14/2016,neutral,367
3/14/2016,positive,543
3/15/2016,negative,1311
3/15/2016,neutral,565
3/15/2016,positive,994
3/16/2016,negative,1491
3/16/2016,neutral,778
3/16/2016,positive,864
3/17/2016,negative,809
3/17/2016,neutral,283
3/17/2016,positive,158
3/18/2016,negative,911
3/18/2016,neutral,175
3/18/2016,positive,173
3/19/2016,negative,315
3/19/2016,neutral,156
3/19/2016,positive,196
3/20/2016,negative,595
3/20/2016,neutral,137
3/20/2016,positive,449
3/21/2016,negative,925
3/21/2016,neutral,366
3/21/2016,positive,238
3/22/2016,negative,254
3/22/2016,neutral,112
3/22/2016,positive,252
3/23/2016,negative,541
3/23/2016,neutral,419
3/23/2016,positive,616
3/24/2016,negative,296
3/24/2016,neutral,205
3/24/2016,positive,194
3/25/2016,negative,337
3/25/2016,neutral,129
3/25/2016,positive,113
3/26/2016,negative,233
3/26/2016,neutral,27
3/26/2016,positive,44
3/27/2016,negative,189
3/27/2016,neutral,46
3/27/2016,positive,135
3/28/2016,negative,190
3/28/2016,neutral,163
3/28/2016,positive,184
3/29/2016,negative,434
3/29/2016,neutral,386
3/29/2016,positive,281
3/30/2016,negative,764
3/30/2016,neutral,558
3/30/2016,positive,313
3/31/2016,negative,607
3/31/2016,neutral,261
3/31/2016,positive,196
4/1/2016,negative,719
4/1/2016,neutral,260
4/1/2016,positive,262
4/2/2016,negative,681
4/2/2016,neutral,91
4/2/2016,positive,272
4/3/2016,negative,79
4/3/2016,neutral,23
4/3/2016,positive,87
4/4/2016,negative,276
4/4/2016,neutral,215
4/4/2016,positive,137
4/5/2016,negative,487
4/5/2016,neutral,214
4/5/2016,positive,193
4/6/2016,negative,438
4/6/2016,neutral,243
4/6/2016,positive,177
4/7/2016,negative,326
4/7/2016,neutral,122
4/7/2016,positive,212
4/8/2016,negative,261
4/8/2016,neutral,131
4/8/2016,positive,152
4/9/2016,negative,242
4/9/2016,neutral,101
4/9/2016,positive,105
4/10/2016,negative,393
4/10/2016,neutral,137
4/10/2016,positive,117
4/11/2016,negative,418
4/11/2016,neutral,210
4/11/2016,positive,155
4/12/2016,negative,550
4/12/2016,neutral,203
4/12/2016,positive,138
4/13/2016,negative,335
4/13/2016,neutral,230
4/13/2016,positive,179
4/14/2016,negative,379
4/14/2016,neutral,298
4/14/2016,positive,174
4/15/2016,negative,314
4/15/2016,neutral,229
4/15/2016,positive,168
4/16/2016,negative,180
4/16/2016,neutral,53
4/16/2016,positive,84
4/17/2016,negative,236
4/17/2016,neutral,77
4/17/2016,positive,76
4/18/2016,negative,381
4/18/2016,neutral,253
4/18/2016,positive,184
4/19/2016,negative,515
4/19/2016,neutral,425
4/19/2016,positive,388
4/20/2016,negative,309
4/20/2016,neutral,439
4/20/2016,positive,551
4/21/2016,negative,360
4/21/2016,neutral,315
4/21/2016,positive,194
4/22/2016,negative,198
4/22/2016,neutral,175
4/22/2016,positive,138
4/23/2016,negative,604
4/23/2016,neutral,107
4/23/2016,positive,97
4/24/2016,negative,236
4/24/2016,neutral,251
4/24/2016,positive,449
4/25/2016,negative,457
4/25/2016,neutral,340
4/25/2016,positive,421
4/26/2016,negative,696
4/26/2016,neutral,347
4/26/2016,positive,360
4/27/2016,negative,604
4/27/2016,neutral,1430
4/27/2016,positive,981
4/28/2016,negative,270
4/28/2016,neutral,138
4/28/2016,positive,197
4/29/2016,negative,741
4/29/2016,neutral,265
4/29/2016,positive,312
4/30/2016,negative,221
4/30/2016,neutral,102
4/30/2016,positive,255
5/1/2016,negative,267
5/1/2016,neutral,141
5/1/2016,positive,227
5/2/2016,negative,322
5/2/2016,neutral,385
5/2/2016,positive,205
5/3/2016,negative,396
5/3/2016,neutral,326
5/3/2016,positive,401
5/4/2016,negative,1267
5/4/2016,neutral,693
5/4/2016,positive,993
5/5/2016,negative,924
5/5/2016,neutral,689
5/5/2016,positive,549
